####eBayCatName, eBayCatId, CatIndex
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Bags	57748	194
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Belts	176966	80
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Gloves & Mittens	163225	26
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Hair Accessories	18786	561
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Hats	163224	25
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Jewelry	175522	265
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Other Baby Accessories	163226	24
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Scarves	175523	266
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Sunglasses	176967	79
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Accessories:Ties	176968	544
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Baby Shoes	147285	112
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Bottoms	57793	526
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Mixed Items & Lots	147342	28
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):One-Pieces	57784	108
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Other Newborn-5T Boys Clothes	147343	181
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Outerwear	147324	342
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Outfits & Sets	147333	6
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Sleepwear	147336	178
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Socks	163220	187
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Suits	147337	179
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Sweaters	147338	18
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Swimwear	147339	183
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Tops & T-Shirts	147340	30
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Boys' Clothing (Newborn-5T):Underwear	147341	29
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Christening	139762	394
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Bottoms	163175	558
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Dresses	163351	523
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Mixed Items & Lots	147220	31
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):One-Pieces	57847	173
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Other Newborn-5T Girls Clothes	147221	32
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Outerwear	147202	286
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Outfits & Sets	147211	423
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Skirts	147214	426
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Sleepwear	147215	425
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Socks & Tights	147284	115
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Sweaters	147216	428
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Swimwear	152398	318
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Tops & T-Shirts	147218	430
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Girls' Clothing (Newborn-5T):Underwear	147219	429
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Other Baby & Toddler Clothing	1070	422
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Bottoms	163424	11
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Mixed Items & Lots	163402	275
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):One-Pieces	163425	12
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Other Newborn-5T Unisex	57875	88
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Outerwear	163399	135
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Outfits & Sets	163427	13
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Sleepwear	163400	276
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Socks	57749	195
Clothing, Shoes & Accessories:Baby & Toddler Clothing:Unisex Clothing (Newborn-5T):Tops & T-Shirts	163401	277
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Bags & Pouches	175641	123
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Belts & Sashes	175642	122
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Boas, Scarves & Leis	175643	121
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Capes, Coats & Cloaks	155345	509
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Crowns & Tiaras	155346	510
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Face Paint & Stage Makeup	175644	120
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Fans & Parasols	175645	119
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Glasses	175646	118
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Gloves	155348	516
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Handhelds & Props	163148	464
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Hats & Headgear	155349	517
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Masks & Eye Masks	116724	188
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Other Costume Accessories	82161	556
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Prosthetics	175647	117
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Shoes & Footwear	155347	511
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Wigs & Facial Hair	155350	97
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Accessories:Wings, Tails, Ears & Noses	155351	96
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Boys	80913	333
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Girls	80914	334
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Infants & Toddlers	90635	148
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Men	52762	456
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Mixed Items & Lots	175649	116
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Other Costumes	19255	274
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Unisex	86207	421
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Costumes:Women	53369	549
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Other Theatrical Clothing	163149	463
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:18th Century, Colonial	163129	212
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Civil War	125474	555
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Contemporary	175651	529
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Medieval & Renaissance	125473	552
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Other Reenactment & Theater	163132	48
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Patterns	163131	50
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Regency	163130	49
Clothing, Shoes & Accessories:Costumes, Reenactment, Theater:Reenactment & Theater:Victorian & Edwardian	125475	554
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Africa	155241	9
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Asia & Pacific Islands:Cheong-sam	155243	180
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Asia & Pacific Islands:Jackets	163141	461
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Asia & Pacific Islands:Kimono	155244	176
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Asia & Pacific Islands:Other Asian & Pacific Clothing	155245	175
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Europe:Dirndls	163143	460
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Europe:Kilts & Sporrans	112424	81
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Europe:Lederhosen	163144	459
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Europe:Other European Clothing	163145	458
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:India & Pakistan:Choli	155247	177
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:India & Pakistan:Kurta	155248	185
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:India & Pakistan:Other Ind-Pak Clothes & Accs	155251	189
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:India & Pakistan:Salwar Kameez	155249	184
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:India & Pakistan:Sari, Saree	155250	191
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Latin America	155252	169
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Middle East	155253	186
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Native American	163146	457
Clothing, Shoes & Accessories:Cultural & Ethnic Clothing:Other Cultural Clothing	155254	172
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Ballet	152360	470
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Ballroom	152361	469
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Belly Dancing	152362	468
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Dance Accessories	152369	465
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Leg Warmers	163139	54
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Leggings & Tights	152364	474
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Leotards & Unitards	152365	473
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Other Adult Dancewear	112428	76
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Outfits	152366	472
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Pants & Shorts	163140	462
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Skirts	150666	433
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Square Dancing	152363	467
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Tops, Shirts	152367	471
Clothing, Shoes & Accessories:Dancewear:Adult Dancewear:Totes, Duffel Bags	152368	466
Clothing, Shoes & Accessories:Dancewear:Baby & Toddler Dancewear	172007	455
Clothing, Shoes & Accessories:Dancewear:Dance Shoes:Ballet	150663	435
Clothing, Shoes & Accessories:Dancewear:Dance Shoes:Ballroom	152340	138
Clothing, Shoes & Accessories:Dancewear:Dance Shoes:Character	152341	137
Clothing, Shoes & Accessories:Dancewear:Dance Shoes:Jazz, Hip Hop	150664	432
Clothing, Shoes & Accessories:Dancewear:Dance Shoes:Other Dance Shoes	153004	343
Clothing, Shoes & Accessories:Dancewear:Dance Shoes:Tap	152342	139
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Dance Accessories	152358	568
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Dresses & Tutus	152352	562
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Leg Warmers	163137	51
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Leggings & Tights	152353	563
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Leotards & Unitards	152354	566
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Lots	152359	569
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Other Kids' Dancewear	112426	82
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Outfits	152355	567
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Pants & Shorts	163138	53
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Tops, Shirts	152356	564
Clothing, Shoes & Accessories:Dancewear:Kids' Dancewear:Totes, Duffel Bags	152357	565
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Backpacks & Bags	57882	253
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Belts & Belt Buckles	57883	252
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Gloves & Mittens	57885	247
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Hats	57884	248
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Key Chains	175524	263
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Mixed Items & Lots	156789	542
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Other Boys' Accessories	3075	527
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Scarves	122321	299
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Sunglasses	131411	481
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Suspenders	122320	298
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Ties	57886	391
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Umbrellas	175525	264
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Wallets	57887	249
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Accessories:Wristbands	122322	300
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Jeans	77475	420
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Mixed Items & Lots	15620	167
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Other Boys' Clothes Sizes 4+	1067	23
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Outerwear	51933	546
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Outfits & Sets	156790	372
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Pants	51920	287
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Shorts	15615	114
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Sleepwear	84544	27
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Socks	153564	127
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Suits	99754	500
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Sweaters	51946	418
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Sweatshirts & Hoodies	57916	337
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Swimwear	51919	323
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Tops, Shirts & T-Shirts	175521	267
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Underwear	51973	147
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Uniforms	28016	352
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Clothing (Sizes 4 & Up):Vests	176957	162
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Boys' Shoes	57929	174
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Backpacks	57917	336
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Belts & Belt Buckles	57918	339
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Gloves & Mittens	57919	338
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Hair Accessories	57920	171
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Hats	15630	326
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Jewelry	175526	261
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Key Chains	175527	262
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Mixed Items & Lots	15633	329
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Other Girls' Accessories	11467	302
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Purses & Wallets	15629	165
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Scarves & Wraps	57927	551
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Shoe Charms	150956	559
Clothing, Shoes & Accessories:Kids' Clothing, Shoes & Accs:Girls' Accessories:Sunglasses	122340	41
